date,average,count
2020/3/7,1,2
2020/3/8,2,1
2020/3/9,0,1
2020/3/10,2.666666667,3
2020/3/11,1,4
2020/3/12,1.428571429,21
2020/3/13,1.777070064,157
2020/3/14,1.595238095,168
2020/3/15,1.668789809,157
2020/3/16,1.664473684,152
2020/3/17,1.658959538,173
2020/3/18,1.723163842,177
2020/3/19,1.844594595,148
2020/3/20,1.758974359,195
2020/3/21,1.694117647,170
2020/3/22,1.826388889,144
2020/3/23,1.701149425,174
2020/3/24,1.777777778,162
2020/3/25,1.823834197,193
2020/3/26,1.859223301,206
2020/3/27,1.812903226,155
2020/3/28,1.706467662,201
2020/3/29,1.884393064,173
2020/3/30,1.758426966,178
2020/3/31,1.894117647,170
2020/4/1,1.741463415,205
2020/4/2,1.795321637,171
2020/4/3,1.812227074,229
2020/4/4,1.768181818,220
2020/4/5,1.742647059,272
2020/4/6,1.625570776,219
2020/4/7,1.740909091,220
2020/4/8,1.728070175,228
2020/4/9,1.695,200
2020/4/10,1.797520661,242
2020/4/11,1.754310345,232
2020/4/12,1.704845815,227
2020/4/13,1.534090909,176
2020/4/14,1.821276596,235
2020/4/15,1.613207547,212
2020/4/16,1.769230769,247
2020/4/17,1.848623853,218
2020/4/18,1.703125,192
2020/4/19,1.593023256,258
2020/4/20,1.762430939,181
2020/4/21,1.904958678,242
2020/4/22,1.61682243,214
2020/4/23,1.772532189,233
2020/4/24,1.717770035,287
2020/4/25,1.780373832,214
2020/4/26,1.65625,224
2020/4/27,1.708661417,254
2020/4/28,1.501945525,257
2020/4/29,1.791338583,254
2020/4/30,1.972972973,259
2020/5/1,1.700404858,247
2020/5/2,1.668421053,190
2020/5/3,1.705263158,190
2020/5/4,1.693333333,225
2020/5/5,1.693693694,222
2020/5/6,1.773076923,260
2020/5/7,1.744525547,274
2020/5/8,1.708542714,199
2020/5/9,1.629370629,286
2020/5/10,1.682983683,429
2020/5/11,1.728971963,321
2020/5/12,1.780082988,241
2020/5/13,1.654545455,275
2020/5/14,1.692946058,241
2020/5/15,1.713740458,262
2020/5/16,1.75,244
2020/5/17,1.803108808,193
2020/5/18,1.831730769,208
2020/5/19,1.710900474,211
2020/5/20,1.881773399,203
2020/5/21,1.857758621,232
2020/5/22,1.794258373,209
2020/5/23,1.47311828,372
2020/5/24,1.655172414,232
2020/5/25,1.587755102,245
2020/5/26,1.597345133,226
2020/5/27,1.667953668,259
2020/5/28,1.602189781,274
2020/5/29,1.65258216,213
2020/5/30,1.805263158,190
