OID_,NAME_2,ZONE_CODE,COUNT,AREA,SUM
1,AberdeenCity,1,402.000000000000000,0.027916666443333,498470.798900067573413
2,Aberdeenshire,2,13576.000000000000000,0.942777770235556,618548.664942382951267
3,Angus,3,4618.000000000000000,0.320694441878889,272968.908596381312236
4,AntrimandNewtownabbey,4,1184.000000000000000,0.082222221564444,302830.252810045785736
5,ArdsandNorthDown,5,929.000000000000000,0.064513888372778,323084.480486870510504
6,ArgyllandBute,6,14688.000000000000000,1.019999991840000,186963.910560837801313
7,"ArmaghCity,BanbridgeandCraig",7,2678.000000000000000,0.185972220734444,454150.374264597427100
8,Barnsley,8,639.000000000000000,0.044374999645000,476905.187155425490346
9,BathandNorthEastSomerset,9,652.000000000000000,0.045277777415556,336618.969280720048118
10,Bedford,10,896.000000000000000,0.062222221724444,320027.634338617557660
11,Belfast,11,269.000000000000000,0.018680555406111,671603.972033977624960
12,Birmingham,12,505.000000000000000,0.035069444163889,2200203.539861676283181
13,BlackburnwithDarwen,13,267.000000000000000,0.018541666518333,306566.323869108979125
14,Blackpool,14,70.000000000000000,0.004861111072222,277287.209457397577353
15,BlaenauGwent,15,202.000000000000000,0.014027777665556,126582.394940793543356
16,Bolton,16,267.000000000000000,0.018541666518333,568622.572687149280682
17,"Bournemouth,ChristchurchandPo",17,309.000000000000000,0.021458333161667,770141.554561138502322
18,BracknellForest,18,203.000000000000000,0.014097222109444,217362.963658094231505
19,Bradford,19,720.000000000000000,0.049999999600000,1127370.636790633667260
20,Bridgend,20,468.000000000000000,0.032499999740000,274186.060387134493794
21,BrightonandHove,21,152.000000000000000,0.010555555471111,549457.930521488189697
22,"Bristol,Cityof",22,208.000000000000000,0.014444444328889,886234.736633301014081
23,Buckinghamshire,23,2930.000000000000000,0.203472220594444,1014959.332649469026364
24,Bury,24,198.000000000000000,0.013749999890000,371085.286235570849385
25,Caerphilly,25,519.000000000000000,0.036041666378333,355160.268845796876121
26,Calderdale,26,710.000000000000000,0.049305555161111,426576.807303428940941
27,Cambridgeshire,27,5799.000000000000000,0.402708330111667,1318960.081496954895556
28,Cardiff,28,263.000000000000000,0.018263888742778,724940.152176856994629
29,Carmarthenshire,29,4456.000000000000000,0.309444441968889,352568.367326735984534
30,CausewayCoastandGlens,30,4006.000000000000000,0.278194442218889,305751.657099605363328
31,CentralBedfordshire,31,1242.000000000000000,0.086249999310000,507727.349095463810954
32,Ceredigion,32,3391.000000000000000,0.235486109227222,141764.604165717581054
33,CheshireEast,33,2254.000000000000000,0.156527776525556,744303.373872638796456
34,CheshireWestandChester,34,1773.000000000000000,0.123124999015000,682869.629898129962385
35,CityofEdinburgh,35,548.000000000000000,0.038055555251111,1046061.649581550736912
36,Clackmannanshire,36,336.000000000000000,0.023333333146667,113158.517033036740031
37,Conwy,37,2198.000000000000000,0.152638887667778,237553.826036900514737
38,Cornwall,38,6520.000000000000000,0.452777774155556,1029248.957181453472003
39,CountyDurham,39,4599.000000000000000,0.319374997445000,1084258.967940598260611
40,Coventry,40,189.000000000000000,0.013124999895000,627655.026851177448407
41,Cumbria,41,13621.000000000000000,0.945902770210556,1028610.517585499444976
42,Darlington,42,399.000000000000000,0.027708333111667,227622.703333437326364
43,Denbighshire,43,1611.000000000000000,0.111874999105000,176290.074515372805763
44,Derby,44,149.000000000000000,0.010347222139444,519674.228958129824605
45,Derbyshire,45,4928.000000000000000,0.342222219484444,1576793.916012287139893
46,DerryCityandStrabane,46,2481.000000000000000,0.172291665288333,315401.989673465141095
47,Devon,47,12098.000000000000000,0.840138882167778,1457327.363065537065268
48,Doncaster,48,1114.000000000000000,0.077361110492222,622497.388516723411158
49,Dorset,49,4583.000000000000000,0.318263886342778,710292.583604633458890
50,Dudley,50,190.000000000000000,0.013194444338889,605533.712314605596475
51,DumfriesandGalloway,51,13103.000000000000000,0.909930548276111,315299.923417880781926
52,DundeeCity,52,126.000000000000000,0.008749999930000,313747.491267204284668
53,EastAyrshire,53,2599.000000000000000,0.180486109667222,256489.985876730293967
54,EastDunbartonshire,54,353.000000000000000,0.024513888692778,207232.401314243645174
55,EastLothian,55,1434.000000000000000,0.099583332536667,237876.150487750681350
56,EastRenfrewshire,56,354.000000000000000,0.024583333136667,182707.374041840492282
57,EastRidingofYorkshire,57,4773.000000000000000,0.331458330681667,707875.794111010734923
58,EastSussex,58,3165.000000000000000,0.219791664908333,1050372.332372546894476
59,Essex,59,6574.000000000000000,0.456527774125556,2763945.775079313199967
60,Falkirk,60,628.000000000000000,0.043611110762222,348173.929790392401628
61,FermanaghandOmagh,61,5793.000000000000000,0.402291663448333,243245.368632277357392
62,Fife,62,2791.000000000000000,0.193819442893889,800339.871708452003077
63,Flintshire,63,843.000000000000000,0.058541666198333,295301.589931487746071
64,Gateshead,64,287.000000000000000,0.019930555396111,421094.466189503844362
65,GlasgowCity,65,373.000000000000000,0.025902777570556,1261309.447192787891254
66,Gloucestershire,66,5008.000000000000000,0.347777774995556,1183037.441298188176006
67,GreaterLondon,67,2938.000000000000000,0.204027776145556,17098401.783917877823114
68,Gwynedd,68,4914.000000000000000,0.341249997270000,245866.597968116373522
69,Halton,69,165.000000000000000,0.011458333241667,254346.116239309310913
70,Hampshire,70,6795.000000000000000,0.471874996225000,2580171.206090507097542
71,Hartlepool,71,195.000000000000000,0.013541666558333,200532.624366521748016
72,"Herefordshire,Countyof",72,4209.000000000000000,0.292291664328333,367167.997725486115087
73,Hertfordshire,73,3179.000000000000000,0.220763887122778,2273000.616535426583141
